Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.497,14.924,13.496,8.09,3.916,1.451,-0.435,-0.277,1.639,3.088,5.615,7.642,6.564,3.985,-0.054,-6.622,-12.93,-19.284,-10.538,-7.001,-8.567,-6.774,-5.624,-4.351,-3.44,0.941,4.401,5.687,8.487,10.834,12.41,13.135,13.573,13.761,2018.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.27,37.0,39.92,41.07,44.18,46.79,50.46,55.36,59.51,63.23,66.68,69.66,72.42,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.433,27.8,29.241,40.794,37.838,32.82,28.223,25.507,22.663,22.476,26.297,28.539,27.22,24.817,26.883,32.919,42.081,38.611,38.979,41.539,41.429,40.157,38.542,37.145,35.816,34.066,2018.0
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.586,29.417,32.369,32.922,31.01,29.924,30.143,37.092,44.937,52.889,57.916,65.108,69.091,70.483,68.533,65.877,62.715,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.73,44.377,43.056,41.997,45.341,46.963,48.581,48.569,45.552,38.632,37.92,44.424,48.124,52.543,67.076,78.128,89.454,91.255,86.891,79.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.526,0.548,1.42,7.649,13.473,15.1,13.254,14.991,13.795,13.446,19.82,25.519,26.759,28.323,29.11,29.418,28.263,25.123,21.722,19.878,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.16,50.911,49.223,46.533,42.869,39.571,34.972,36.47,35.212,31.748,25.391,16.173,11.363,7.842,11.492,15.033,15.119,18.54,18.303,18.076,16.171,16.506,14.565,13.76,13.157,12.688,12.354,12.048,11.674,11.141,2018.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.059,27.066,25.069,25.048,22.692,24.44,38.011,43.71,46.049,46.951,46.402,44.875,44.166,41.878,39.862,38.122,2018.0
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.763,19.157,46.595,31.639,32.21,29.925,26.028,27.948,29.859,30.195,31.863,36.306,39.047,37.553,37.211,38.5,40.303,41.409,43.354,43.699,43.986,44.228,44.444,44.889,2018.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.274,45.647,45.291,51.191,63.125,69.628,67.54,67.586,67.872,61.332,52.844,55.871,57.094,61.279,63.452,73.733,77.054,78.839,88.188,93.884,81.331,75.436,75.676,73.528,72.416,71.979,69.354,2018.0
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.492,-0.281,-0.178,-0.262,-0.273,-2.321,-4.405,-7.359,-9.14,-9.712,-10.863,-10.411,-7.891,-9.468,-8.339,-6.66,-4.734,-4.308,-3.863,-2.199,-2.641,-1.581,-1.384,0.264,0.381,0.464,0.539,0.707,0.912,2018.0
Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.628,15.891,14.945,11.146,7.389,5.065,-1.185,-7.014,-3.572,5.029,7.399,5.433,3.996,3.427,9.289,17.452,22.475,31.315,37.167,38.988,41.793,45.759,50.136,55.214,2019.0
Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.692,29.964,32.982,31.157,28.228,17.06,18.979,20.785,19.903,20.311,23.639,99.483,54.316,68.034,30.498,34.131,33.045,29.189,32.39,39.952,37.035,41.936,42.997,49.625,51.789,54.563,57.407,56.105,51.9,50.168,48.818,48.777,49.037,2018.0
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.794,42.955,45.706,46.82,46.708,51.761,33.803,28.731,34.95,31.033,37.12,41.584,41.903,41.916,43.084,43.018,42.754,47.483,47.442,43.816,41.663,40.048,39.136,38.337,43.6,43.308,45.693,46.307,46.337,46.28,46.227,46.133,46.088,2018.0
Finland,62.466,61.906,57.103,53.906,53.628,56.145,57.742,57.727,60.364,68.687,73.039,70.225,51.203,33.202,33.691,8.354,12.41,15.303,12.244,7.82,4.426,2.92,-0.314,0.967,-2.056,-4.736,-4.959,-5.189,-7.761,-4.752,3.174,5.075,9.478,12.947,17.35,18.657,21.481,22.139,24.187,24.121,24.343,24.658,24.835,24.85,24.753,2018.0
France,0.0,0.0,0.0,13.197,15.211,22.776,25.549,24.773,24.936,25.047,25.815,28.389,31.344,35.959,41.879,46.106,49.335,50.272,50.596,50.514,49.723,49.577,51.309,55.1,56.772,58.978,58.112,58.145,59.813,69.752,73.623,76.434,79.979,83.002,85.465,86.362,89.194,89.475,89.533,90.448,90.358,90.111,89.795,89.362,88.916,2018.0
