Suma de ECI,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Valor Total
Bolivia,-0.712487,-0.708527,-0.781309,-0.841633,-0.876756,-0.926964,-0.792537,-0.780383,-0.795227,-0.980488,-1.04562,-0.996872,-0.926734,-0.870114,-0.851629,-1.14398,-0.904911,-1.03484,-0.895974,-0.819953,-1.11108,-0.842486,-0.942779,-0.895863,-0.804475,-0.956995,-0.864784,-0.89069,-0.922251,-0.930338,-0.871765,-0.784781,-0.670547,-0.761067,-0.630502,-0.770524,-0.812611,-0.881527,-0.836185,-0.797802,-0.919345,-0.856918,-0.851524,-0.871062,-0.795241,-0.828261,-0.821025,-0.939743,-0.853344,-1.16084,-1.18122,-1.06538,-1.06344,-1.07744,-47.950773
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765632,0.760914,0.673995,0.635623,0.580926,0.492681,0.528119,0.456929,0.358552,0.302574,0.242517,0.210007,0.365334,0.429642,0.52393,0.529734,0.553484,0.522361,0.574773,0.592368,0.545884,0.562599,0.578374,0.32009,0.328647,0.372865,12.808554
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.411647,-0.826433,-0.686412,-0.818465,-0.708473,-0.845061,-0.856364,-0.891555,-0.499249,0.160551,0.103461,-0.354011,-0.532549,-0.574288,-0.790862,,,,-8.531357
Brazil,-0.882551,-0.904464,-0.867307,-0.849452,-0.702449,-0.565923,-0.54633,-0.614586,-0.546039,-0.372521,-0.341572,-0.21511,-0.308122,-0.259673,-0.181274,-0.106942,0.067672,0.117213,0.286643,0.196999,0.375735,0.267288,0.345727,0.369739,0.33526,0.339519,0.418308,0.417815,0.503414,0.471776,0.512414,0.558738,0.529039,0.609912,0.63263,0.63173,0.602188,0.512734,0.450486,0.42281,0.399357,0.450112,0.477157,0.548606,0.396395,0.265535,0.248326,0.190826,0.161553,0.032264,-0.151225,0.696066,0.648284,0.608252,6.682982
Bulgaria,0.617459,0.637412,0.741352,0.585614,0.486855,0.530517,0.514371,0.588835,0.589544,0.613131,0.770913,0.820792,0.7584,0.66881,0.665983,0.675666,0.633252,0.681308,0.708309,0.835249,0.674233,0.620417,0.561423,0.579827,0.558906,0.569171,0.645641,0.568584,0.429701,0.409459,0.364839,0.323871,0.34916,0.501917,0.483749,0.450126,0.442311,0.344109,0.384387,0.365341,0.309366,0.34386,0.373395,0.410246,0.446085,0.39622,0.467999,0.447953,0.497365,0.278113,0.290812,0.358694,0.327278,0.347659,28.045989
Burma,-0.855248,-1.0672,-1.03755,-0.980183,-1.06872,-1.13729,-1.1461,-1.37593,-1.05842,-0.868736,-0.926276,-1.10767,-1.00505,-1.04818,-0.882072,-0.830871,-0.807171,-0.667566,-0.694097,-0.766736,-0.826776,-0.715804,-0.811849,-0.984295,-1.13781,-1.09078,-1.05308,-1.12979,-1.22432,-1.28022,-1.19653,-1.25906,-1.25981,-1.2446,-1.24911,-1.15924,-1.30999,-1.29669,-1.18614,-1.23973,-1.3014,-1.23916,-1.24742,-1.20659,-1.19618,-1.24182,-1.20578,-1.27821,,,,,,,-51.90325
Cambodia,-0.650317,-0.73646,-0.928722,-0.950048,-0.870425,-0.922801,-1.19009,-1.07522,-1.10812,-1.02784,-0.62695,-0.342256,-0.150939,0.173955,0.418704,0.686277,0.953869,1.1079,0.967635,0.93646,0.618817,0.565503,0.645039,0.322833,0.411623,-0.085926,-0.221593,-0.478344,-0.845222,-1.01317,-1.02126,-0.985304,-0.931056,-1.05982,-1.36686,-1.22901,-1.15353,-1.04926,-1.04947,-1.02579,-1.14921,-1.17042,-1.20287,-1.2005,-1.06295,-0.985864,-1.04752,-1.20676,-0.95203,-0.904026,-0.723043,-1.47629,-1.44677,-1.37692,-32.192361
Cameroon,-1.12852,-1.26389,-1.27345,-0.972631,-0.758248,-0.843236,-0.817342,-0.935888,-0.958583,-0.708526,-0.951974,-0.981177,-1.169,-1.13052,-1.25489,-1.16546,-1.34147,-1.50593,-1.30103,-1.15604,-1.20592,-1.73297,-1.74781,-1.76979,-1.77215,-1.72539,-1.76896,-1.65648,-1.88333,-1.95829,-1.86519,-1.70179,-1.6158,-1.73434,-1.83434,-1.81816,-1.77589,-1.76353,-1.53014,-1.45477,-1.55106,-1.81234,-1.80901,-1.62851,-1.59003,-1.45045,-1.64686,-0.618845,-0.546339,-0.69924,-0.841034,-1.0069,-0.814567,-1.01371,-72.96174
Canada,0.820749,0.718737,0.769482,0.75826,0.803205,0.829068,0.671882,0.709441,0.723165,0.627947,0.66737,0.78543,0.81458,0.869288,0.846039,0.833572,0.857068,0.94163,0.905164,0.995635,0.767403,0.714533,0.702436,0.712579,0.689466,0.774507,0.703285,0.615339,0.580017,0.652211,0.819512,0.856119,0.891053,0.842988,0.933069,0.853475,0.882912,0.864428,0.89244,0.919277,0.862716,0.848054,0.811793,0.789332,0.741557,0.711973,0.703779,0.526191,0.534847,0.421886,0.411362,1.12953,1.08422,1.05671,42.248711
Chile,-0.040221,-0.096364,0.124412,-0.025874,-0.20273,-0.017258,-0.071417,0.013151,0.065106,0.057265,-0.114033,0.011746,-0.254118,-0.253737,-0.192636,-0.300832,-0.231075,-0.201121,-0.206138,-0.170715,-0.322281,-0.240817,-0.27313,-0.470722,-0.565224,-0.499843,-0.452327,-0.336225,-0.397569,-0.365605,-0.296188,-0.197503,-0.236143,-0.22503,-0.123718,-0.122233,-0.120653,-0.097452,-0.089827,-0.069191,-0.150324,-0.150391,-0.196433,-0.171878,-0.22253,-0.222266,-0.244314,-0.328124,-0.333627,-0.499261,-0.532363,0.0316813,0.0611241,0.0443139,-10.5226617
